timestamp, count, name, pci.bus_id, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/11/29 12:27:32.727, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15369 MiB, 0 %, 0 %
2018/11/29 12:27:37.729, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15369 MiB, 0 %, 0 %
2018/11/29 12:27:42.730, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15369 MiB, 0 %, 0 %
2018/11/29 12:27:47.730, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15369 MiB, 0 %, 0 %
2018/11/29 12:27:52.731, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15369 MiB, 0 %, 0 %
2018/11/29 12:27:57.732, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:28:02.732, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:28:07.734, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:28:12.735, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:28:17.735, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:28:22.736, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:28:27.737, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:28:32.738, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:28:37.739, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 10 %, 3 %
2018/11/29 12:28:42.739, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 62 %, 100 %
2018/11/29 12:28:47.740, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 49 %, 100 %
2018/11/29 12:28:52.741, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:28:57.741, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 12 %, 5 %
2018/11/29 12:29:02.742, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 10 %, 3 %
2018/11/29 12:29:07.743, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 2 %, 1 %
2018/11/29 12:29:12.744, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 12 %, 3 %
2018/11/29 12:29:17.745, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:29:22.746, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 9 %, 2 %
2018/11/29 12:29:27.748, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:29:32.749, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 82 %, 100 %
2018/11/29 12:29:37.750, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 8 %, 3 %
2018/11/29 12:29:42.751, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 68 %, 100 %
2018/11/29 12:29:47.753, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 3 %, 1 %
2018/11/29 12:29:52.753, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:29:57.754, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:30:02.755, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
