timestamp, count, name, pci.bus_id, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/11/29 12:35:04.443, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15369 MiB, 0 %, 0 %
2018/11/29 12:35:09.444, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15421 MiB, 8 %, 2 %
2018/11/29 12:35:14.445, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:35:19.446, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:35:24.447, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:35:29.447, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:35:34.448, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:35:39.448, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:35:44.449, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:35:49.450, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15645 MiB, 0 %, 0 %
2018/11/29 12:35:54.451, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:35:59.452, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 1 %, 0 %
2018/11/29 12:36:04.452, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 5 %, 2 %
2018/11/29 12:36:09.453, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:36:14.454, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 31 %, 81 %
2018/11/29 12:36:19.456, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 5 %, 2 %
2018/11/29 12:36:24.457, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 3 %, 5 %
2018/11/29 12:36:29.458, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 11 %, 3 %
2018/11/29 12:36:34.458, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 40 %, 100 %
2018/11/29 12:36:39.459, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 10 %, 3 %
2018/11/29 12:36:44.460, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 5 %, 1 %
2018/11/29 12:36:49.461, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 14 %, 26 %
2018/11/29 12:36:54.461, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 44 %, 100 %
2018/11/29 12:36:59.462, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 7 %, 2 %
2018/11/29 12:37:04.463, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:37:09.464, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:37:14.464, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:37:19.465, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:37:24.466, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:37:29.468, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:37:34.469, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:37:39.470, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:37:44.470, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 14 %, 4 %
2018/11/29 12:37:49.471, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:37:54.472, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:37:59.473, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
2018/11/29 12:38:04.474, 4, Tesla V100-DGXS-16GB, 00000000:07:00.0, 16146 MiB, 15647 MiB, 0 %, 0 %
