timestamp, count, name, pci.bus_id, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2019/01/04 20:15:57.017, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 993 MiB, 0 %, 0 %
2019/01/04 20:16:02.021, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 16101 MiB, 5 %, 0 %
2019/01/04 20:16:07.022, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:16:12.024, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:16:17.025, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:16:22.027, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:16:27.028, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:16:32.030, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:16:37.031, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:16:42.033, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:16:47.034, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:16:52.035, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:16:57.037, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:17:02.039, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:17:07.040, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:17:12.042, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:17:17.043, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:17:22.045, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:17:27.046, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:17:32.048, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:17:37.049, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
2019/01/04 20:17:42.051, 2, Tesla V100-SXM2-16GB, 00000000:00:04.0, 16130 MiB, 1112 MiB, 0 %, 0 %
