14.1848,12.7663,38.7365,18,0:11:30
90.8477,23.3108,37.2703,38,0:06:31
90.8346,31.3454,35.8295,58,0:04:49
90.6479,37.6627,34.4856,78,0:03:58
90.6681,42.7643,33.1594,98,0:03:26
14.9407,32.5043,31.9188,118,0:04:26
78.6047,35.5235,30.6816,138,0:03:58
14.6221,30.0805,29.5218,158,0:04:35
91.3623,32.5322,28.3846,178,0:04:09
90.6194,34.7842,27.2485,198,0:03:47
90.7128,36.8695,26.2062,218,0:03:29
90.2172,38.7972,25.1682,238,0:03:14
81.1141,40.4322,24.1153,258,0:03:01
91.7060,42.1266,23.1724,278,0:02:49
90.8136,43.6988,22.2282,298,0:02:39
14.6465,38.8518,21.3370,318,0:02:53
89.4554,40.1971,20.4243,338,0:02:43
91.7959,41.5002,19.4538,358,0:02:33
77.3673,42.5436,18.6070,378,0:02:24
90.4639,43.7069,17.7799,398,0:02:16
90.8512,44.8196,16.8880,418,0:02:08
90.4933,45.8767,16.0787,438,0:02:01
92.2488,46.9062,15.2004,458,0:01:54
91.3291,47.8805,14.5072,478,0:01:48
80.4577,48.6719,13.6813,498,0:01:42
90.2363,49.5530,13.0414,518,0:01:36
91.6422,50.4136,12.2658,538,0:01:30
91.5292,51.2384,11.4269,558,0:01:25
91.1081,52.0261,10.7674,578,0:01:20
92.5703,52.7994,10.1641,598,0:01:15
81.6414,53.4099,9.4663,618,0:01:10
89.4542,54.0924,8.6827,638,0:01:06
90.5576,54.7626,8.1130,658,0:01:01
90.8959,55.4123,7.4133,678,0:00:57
90.5087,56.0347,6.9474,698,0:00:53
90.6252,56.6368,6.5189,718,0:00:49
80.7962,57.0994,5.9983,738,0:00:45
91.3420,57.6697,5.7188,758,0:00:41
90.3183,58.2105,5.3509,778,0:00:37
89.7651,58.7277,5.0235,798,0:00:33
90.0200,59.2310,4.8771,818,0:00:30
89.8120,59.7162,4.6065,838,0:00:26
78.3244,60.0486,4.4586,858,0:00:23
89.5742,60.5028,4.3049,878,0:00:19
89.9349,60.9469,4.0483,898,0:00:16
90.3195,61.3816,3.9583,918,0:00:13
90.7971,61.8084,3.8676,938,0:00:09
91.1663,62.2267,3.7148,958,0:00:06
77.0701,62.4726,3.6203,978,0:00:03
91.9054,62.8760,3.4831,998,0:00:00
